================================================================================
Per-Chiplet Energy Consumption
================================================================================

Per-Chiplet Energy Summary:
--------------------------------------------------
Per-Chiplet Energy Consumption:

+------------+---------------------+---------------------------+--------------------+
| Chiplet ID | Compute Energy (μJ) | Communication Energy (μJ) | Total Energy (μJ)  |
+------------+---------------------+---------------------------+--------------------+
| 1          | 0.00                | 0.00                      | 0.00               |
| 2          | 4956.74             | 0.00                      | 4956.74            |
| 3          | 320.59              | 0.00                      | 320.59             |
| 4          | 191.25              | 0.00                      | 191.25             |
| 5          | 172.54              | 0.00                      | 172.54             |
| 6          | 172.54              | 0.00                      | 172.54             |
| 7          | 172.54              | 0.00                      | 172.54             |
| 8          | 182.00              | 0.00                      | 182.00             |
| 9          | 182.00              | 0.00                      | 182.00             |
| 10         | 0.00                | 0.00                      | 0.00               |
| 11         | 608.98              | 0.00                      | 608.98             |
| 12         | 674.19              | 0.00                      | 674.19             |
| 13         | 172.54              | 0.00                      | 172.54             |
| 14         | 172.54              | 0.00                      | 172.54             |
| 15         | 172.54              | 0.00                      | 172.54             |
| 16         | 172.54              | 0.00                      | 172.54             |
| 17         | 172.54              | 0.00                      | 172.54             |
| 18         | 172.54              | 0.00                      | 172.54             |
| 19         | 182.00              | 0.00                      | 182.00             |
| 20         | 182.00              | 0.00                      | 182.00             |
| 21         | 355.26              | 0.00                      | 355.26             |
| 22         | 337.42              | 0.00                      | 337.42             |
| 23         | 314.66              | 0.00                      | 314.66             |
| 24         | 172.54              | 0.00                      | 172.54             |
| 25         | 172.54              | 0.00                      | 172.54             |
| 26         | 172.54              | 0.00                      | 172.54             |
| 27         | 172.54              | 0.00                      | 172.54             |
| 28         | 172.54              | 0.00                      | 172.54             |
| 29         | 172.54              | 0.00                      | 172.54             |
| 30         | 126.42              | 0.00                      | 126.42             |
| 31         | 172.54              | 0.00                      | 172.54             |
| 32         | 172.54              | 0.00                      | 172.54             |
| 33         | 172.54              | 0.00                      | 172.54             |
| 34         | 172.54              | 0.00                      | 172.54             |
| 35         | 172.54              | 0.00                      | 172.54             |
| 36         | 172.54              | 0.00                      | 172.54             |
| 37         | 172.54              | 0.00                      | 172.54             |
| 38         | 172.54              | 0.00                      | 172.54             |
| 39         | 181.45              | 0.00                      | 181.45             |
| 40         | 0.00                | 0.00                      | 0.00               |
| 41         | 172.54              | 0.00                      | 172.54             |
| 42         | 172.54              | 0.00                      | 172.54             |
| 43         | 172.54              | 0.00                      | 172.54             |
| 44         | 172.54              | 0.00                      | 172.54             |
| 45         | 172.54              | 0.00                      | 172.54             |
| 46         | 172.54              | 0.00                      | 172.54             |
| 47         | 172.54              | 0.00                      | 172.54             |
| 48         | 127.34              | 0.00                      | 127.34             |
| 49         | 0.00                | 0.00                      | 0.00               |
| 50         | 0.00                | 0.00                      | 0.00               |
| 51         | 172.54              | 0.00                      | 172.54             |
| 52         | 172.54              | 0.00                      | 172.54             |
| 53         | 172.54              | 0.00                      | 172.54             |
| 54         | 172.54              | 0.00                      | 172.54             |
| 55         | 172.54              | 0.00                      | 172.54             |
| 56         | 195.05              | 0.00                      | 195.05             |
| 57         | 0.00                | 0.00                      | 0.00               |
| 58         | 0.00                | 0.00                      | 0.00               |
| 59         | 0.00                | 0.00                      | 0.00               |
| 60         | 0.00                | 0.00                      | 0.00               |
| 61         | 0.00                | 0.00                      | 0.00               |
| 62         | 172.54              | 0.00                      | 172.54             |
| 63         | 172.54              | 0.00                      | 172.54             |
| 64         | 172.54              | 0.00                      | 172.54             |
| 65         | 182.00              | 0.00                      | 182.00             |
| 66         | 0.00                | 0.00                      | 0.00               |
| 67         | 0.00                | 0.00                      | 0.00               |
| 68         | 0.00                | 0.00                      | 0.00               |
| 69         | 0.00                | 0.00                      | 0.00               |
| 70         | 0.00                | 0.00                      | 0.00               |
| 71         | 0.00                | 0.00                      | 0.00               |
| 72         | 0.00                | 0.00                      | 0.00               |
| 73         | 172.54              | 0.00                      | 172.54             |
| 74         | 182.00              | 0.00                      | 182.00             |
| 75         | 0.00                | 0.00                      | 0.00               |
| 76         | 0.00                | 0.00                      | 0.00               |
| 77         | 0.00                | 0.00                      | 0.00               |
| 78         | 0.00                | 0.00                      | 0.00               |
| 79         | 0.00                | 0.00                      | 0.00               |
| 80         | 0.00                | 0.00                      | 0.00               |
| 81         | 0.00                | 0.00                      | 0.00               |
| 82         | 0.00                | 0.00                      | 0.00               |
| 83         | 0.00                | 0.00                      | 0.00               |
| 84         | 0.00                | 0.00                      | 0.00               |
| 85         | 0.00                | 0.00                      | 0.00               |
| 86         | 0.00                | 0.00                      | 0.00               |
| 87         | 0.00                | 0.00                      | 0.00               |
| 88         | 0.00                | 0.00                      | 0.00               |
| 89         | 0.00                | 0.00                      | 0.00               |
| 90         | 0.00                | 0.00                      | 0.00               |
| 91         | 0.00                | 0.00                      | 0.00               |
| 92         | 0.00                | 0.00                      | 0.00               |
| 93         | 0.00                | 0.00                      | 0.00               |
| 94         | 0.00                | 0.00                      | 0.00               |
| 95         | 0.00                | 0.00                      | 0.00               |
| 96         | 0.00                | 0.00                      | 0.00               |
| 97         | 0.00                | 0.00                      | 0.00               |
| 98         | 0.00                | 0.00                      | 0.00               |
| 99         | 0.00                | 0.00                      | 0.00               |
| 100        | 0.00                | 0.00                      | 0.00               |
+------------+---------------------+---------------------------+--------------------+
