================================================================================
System Utilization Metrics
================================================================================


System-Wide Metrics:
--------------------------------------------------
  Time Step Used for Analysis: 1.00 μs
  Mean Per-Chiplet Compute Time Utilization (Method 1): 0.03 %
  Mean Per-Chiplet Activation Communication Time Utilization (Method 1): 0.29 %
  Mean Per-Chiplet Weight Loading Time Utilization (Method 1): 91.28 %
  Mean Per-Chiplet Combined Time Utilization (Method 1): 91.28 %

Total Compute Utilization (Method 1):
--------------------------------------------------
  Compute Time Based Utilization (Per Chiplet):

  +------------+-------------------------+------------------------+
  | Chiplet ID | Total Compute Time (μs) | Utilization (%)        |
  +------------+-------------------------+------------------------+
  | 2          | 159.21                  | 0.78                   |
  | 3          | 10.99                   | 0.05                   |
  | 4          | 0.03                    | 0.00                   |
  | 5          | 0.03                    | 0.00                   |
  | 6          | 0.03                    | 0.00                   |
  | 7          | 0.03                    | 0.00                   |
  | 8          | 0.02                    | 0.00                   |
  | 9          | 0.02                    | 0.00                   |
  | 11         | 36.54                   | 0.18                   |
  | 12         | 58.46                   | 0.29                   |
  | 13         | 0.03                    | 0.00                   |
  | 14         | 0.03                    | 0.00                   |
  | 15         | 0.03                    | 0.00                   |
  | 16         | 0.03                    | 0.00                   |
  | 17         | 0.03                    | 0.00                   |
  | 18         | 0.03                    | 0.00                   |
  | 19         | 0.02                    | 0.00                   |
  | 20         | 0.02                    | 0.00                   |
  | 21         | 13.70                   | 0.07                   |
  | 22         | 12.79                   | 0.06                   |
  | 23         | 6.43                    | 0.03                   |
  | 24         | 0.03                    | 0.00                   |
  | 25         | 0.03                    | 0.00                   |
  | 26         | 0.03                    | 0.00                   |
  | 27         | 0.03                    | 0.00                   |
  | 28         | 0.03                    | 0.00                   |
  | 29         | 0.03                    | 0.00                   |
  | 30         | 0.02                    | 0.00                   |
  | 31         | 0.03                    | 0.00                   |
  | 32         | 0.03                    | 0.00                   |
  | 33         | 0.03                    | 0.00                   |
  | 34         | 0.03                    | 0.00                   |
  | 35         | 0.03                    | 0.00                   |
  | 36         | 0.03                    | 0.00                   |
  | 37         | 0.03                    | 0.00                   |
  | 38         | 0.03                    | 0.00                   |
  | 39         | 0.02                    | 0.00                   |
  | 41         | 0.03                    | 0.00                   |
  | 42         | 0.03                    | 0.00                   |
  | 43         | 0.03                    | 0.00                   |
  | 44         | 0.03                    | 0.00                   |
  | 45         | 0.03                    | 0.00                   |
  | 46         | 0.03                    | 0.00                   |
  | 47         | 0.03                    | 0.00                   |
  | 48         | 0.02                    | 0.00                   |
  | 51         | 0.03                    | 0.00                   |
  | 52         | 0.03                    | 0.00                   |
  | 53         | 0.03                    | 0.00                   |
  | 54         | 0.03                    | 0.00                   |
  | 55         | 0.03                    | 0.00                   |
  | 56         | 0.06                    | 0.00                   |
  | 62         | 0.03                    | 0.00                   |
  | 63         | 0.03                    | 0.00                   |
  | 64         | 0.03                    | 0.00                   |
  | 65         | 0.02                    | 0.00                   |
  | 73         | 0.03                    | 0.00                   |
  | 74         | 0.02                    | 0.00                   |
  +------------+-------------------------+------------------------+

Total Activation Communication Utilization (Method 1):
--------------------------------------------------
  Activation Communication Time Based Utilization (Per Chiplet):

  +------------+------------------------------------------+----------------------+
  | Chiplet ID | Total Activation Communication Time (μs) | Utilization (%)      |
  +------------+------------------------------------------+----------------------+
  | 2          | 352.62                                   | 1.72                 |
  | 3          | 103.69                                   | 0.51                 |
  | 4          | 1.95                                     | 0.01                 |
  | 5          | 1.95                                     | 0.01                 |
  | 6          | 1.95                                     | 0.01                 |
  | 7          | 1.95                                     | 0.01                 |
  | 8          | 1.04                                     | 0.01                 |
  | 9          | 1.04                                     | 0.01                 |
  | 11         | 153.92                                   | 0.75                 |
  | 12         | 249.31                                   | 1.22                 |
  | 13         | 1.95                                     | 0.01                 |
  | 14         | 1.95                                     | 0.01                 |
  | 15         | 1.95                                     | 0.01                 |
  | 16         | 1.95                                     | 0.01                 |
  | 17         | 1.95                                     | 0.01                 |
  | 18         | 1.95                                     | 0.01                 |
  | 19         | 1.04                                     | 0.01                 |
  | 20         | 1.04                                     | 0.01                 |
  | 21         | 60.23                                    | 0.29                 |
  | 22         | 1197.67                                  | 5.85                 |
  | 23         | 1169.44                                  | 5.71                 |
  | 24         | 1.95                                     | 0.01                 |
  | 25         | 1.95                                     | 0.01                 |
  | 26         | 1.95                                     | 0.01                 |
  | 27         | 1.95                                     | 0.01                 |
  | 28         | 1.95                                     | 0.01                 |
  | 29         | 1.95                                     | 0.01                 |
  | 30         | 1.04                                     | 0.01                 |
  | 31         | 1.95                                     | 0.01                 |
  | 32         | 1.95                                     | 0.01                 |
  | 33         | 1.95                                     | 0.01                 |
  | 34         | 1.95                                     | 0.01                 |
  | 35         | 1.95                                     | 0.01                 |
  | 36         | 1.95                                     | 0.01                 |
  | 37         | 1.95                                     | 0.01                 |
  | 38         | 1.95                                     | 0.01                 |
  | 39         | 0.00                                     | 0.00                 |
  | 41         | 1.95                                     | 0.01                 |
  | 42         | 1.95                                     | 0.01                 |
  | 43         | 1.95                                     | 0.01                 |
  | 44         | 1.95                                     | 0.01                 |
  | 45         | 1.95                                     | 0.01                 |
  | 46         | 1.95                                     | 0.01                 |
  | 47         | 1.95                                     | 0.01                 |
  | 48         | 0.00                                     | 0.00                 |
  | 51         | 1.95                                     | 0.01                 |
  | 52         | 1.95                                     | 0.01                 |
  | 53         | 1.95                                     | 0.01                 |
  | 54         | 1.95                                     | 0.01                 |
  | 55         | 1.95                                     | 0.01                 |
  | 56         | 3.00                                     | 0.01                 |
  | 62         | 1.95                                     | 0.01                 |
  | 63         | 1.95                                     | 0.01                 |
  | 64         | 1.95                                     | 0.01                 |
  | 65         | 1.04                                     | 0.01                 |
  | 73         | 1.95                                     | 0.01                 |
  | 74         | 1.04                                     | 0.01                 |
  +------------+------------------------------------------+----------------------+

Total Weight Loading Utilization (Method 1):
--------------------------------------------------
  Weight Loading Time Based Utilization (Per Chiplet):

  +------------+--------------------------------+-------------------+
  | Chiplet ID | Total Weight Loading Time (μs) | Utilization (%)   |
  +------------+--------------------------------+-------------------+
  | 2          | 147204.39                      | 100.00            |
  | 3          | 36801.10                       | 100.00            |
  | 4          | 18400.55                       | 89.85             |
  | 5          | 18400.55                       | 89.85             |
  | 6          | 18400.55                       | 89.85             |
  | 7          | 18400.55                       | 89.85             |
  | 8          | 18400.55                       | 89.85             |
  | 9          | 18400.55                       | 89.85             |
  | 11         | 36801.10                       | 100.00            |
  | 12         | 36801.10                       | 100.00            |
  | 13         | 18400.55                       | 89.85             |
  | 14         | 18400.55                       | 89.85             |
  | 15         | 18400.55                       | 89.85             |
  | 16         | 18400.55                       | 89.85             |
  | 17         | 18400.55                       | 89.85             |
  | 18         | 18400.55                       | 89.85             |
  | 19         | 18400.55                       | 89.85             |
  | 20         | 18400.55                       | 89.85             |
  | 21         | 36801.10                       | 100.00            |
  | 22         | 36801.10                       | 100.00            |
  | 23         | 36801.10                       | 100.00            |
  | 24         | 18400.55                       | 89.85             |
  | 25         | 18400.55                       | 89.85             |
  | 26         | 18400.55                       | 89.85             |
  | 27         | 18400.55                       | 89.85             |
  | 28         | 18400.55                       | 89.85             |
  | 29         | 18400.55                       | 89.85             |
  | 30         | 18400.55                       | 89.85             |
  | 31         | 18400.55                       | 89.85             |
  | 32         | 18400.55                       | 89.85             |
  | 33         | 18400.55                       | 89.85             |
  | 34         | 18400.55                       | 89.85             |
  | 35         | 18400.55                       | 89.85             |
  | 36         | 18400.55                       | 89.85             |
  | 37         | 18400.55                       | 89.85             |
  | 38         | 18400.55                       | 89.85             |
  | 39         | 18400.55                       | 89.85             |
  | 41         | 18400.55                       | 89.85             |
  | 42         | 18400.55                       | 89.85             |
  | 43         | 18400.55                       | 89.85             |
  | 44         | 18400.55                       | 89.85             |
  | 45         | 18400.55                       | 89.85             |
  | 46         | 18400.55                       | 89.85             |
  | 47         | 18400.55                       | 89.85             |
  | 48         | 18400.55                       | 89.85             |
  | 51         | 18400.55                       | 89.85             |
  | 52         | 18400.55                       | 89.85             |
  | 53         | 18400.55                       | 89.85             |
  | 54         | 18400.55                       | 89.85             |
  | 55         | 18400.55                       | 89.85             |
  | 56         | 36801.10                       | 100.00            |
  | 62         | 18400.55                       | 89.85             |
  | 63         | 18400.55                       | 89.85             |
  | 64         | 18400.55                       | 89.85             |
  | 65         | 18400.55                       | 89.85             |
  | 73         | 18400.55                       | 89.85             |
  | 74         | 18400.55                       | 89.85             |
  +------------+--------------------------------+-------------------+

Total Combined Utilization (Method 1):
--------------------------------------------------
  Combined Busy Time Based Utilization (Per Chiplet) - Compute + Activation Communication + Weight Loading:

  +------------+-------------------------------+-------------------+
  | Chiplet ID | Total Combined Busy Time (μs) | Utilization (%)   |
  +------------+-------------------------------+-------------------+
  | 2          | 147716.22                     | 100.00            |
  | 3          | 36915.79                      | 100.00            |
  | 4          | 18402.54                      | 89.86             |
  | 5          | 18402.54                      | 89.86             |
  | 6          | 18402.54                      | 89.86             |
  | 7          | 18402.54                      | 89.86             |
  | 8          | 18401.62                      | 89.86             |
  | 9          | 18401.62                      | 89.86             |
  | 11         | 36991.56                      | 100.00            |
  | 12         | 37108.87                      | 100.00            |
  | 13         | 18402.54                      | 89.86             |
  | 14         | 18402.54                      | 89.86             |
  | 15         | 18402.54                      | 89.86             |
  | 16         | 18402.54                      | 89.86             |
  | 17         | 18402.54                      | 89.86             |
  | 18         | 18402.54                      | 89.86             |
  | 19         | 18401.62                      | 89.86             |
  | 20         | 18401.62                      | 89.86             |
  | 21         | 36875.03                      | 100.00            |
  | 22         | 38011.55                      | 100.00            |
  | 23         | 37976.96                      | 100.00            |
  | 24         | 18402.54                      | 89.86             |
  | 25         | 18402.54                      | 89.86             |
  | 26         | 18402.54                      | 89.86             |
  | 27         | 18402.54                      | 89.86             |
  | 28         | 18402.54                      | 89.86             |
  | 29         | 18402.54                      | 89.86             |
  | 30         | 18401.62                      | 89.86             |
  | 31         | 18402.54                      | 89.86             |
  | 32         | 18402.54                      | 89.86             |
  | 33         | 18402.54                      | 89.86             |
  | 34         | 18402.54                      | 89.86             |
  | 35         | 18402.54                      | 89.86             |
  | 36         | 18402.54                      | 89.86             |
  | 37         | 18402.54                      | 89.86             |
