================================================================================
Per-Chiplet Energy Consumption
================================================================================

Per-Chiplet Energy Summary:
--------------------------------------------------
Per-Chiplet Energy Consumption:

+------------+---------------------+---------------------------+---------------------+
| Chiplet ID | Compute Energy (μJ) | Communication Energy (μJ) | Total Energy (μJ)   |
+------------+---------------------+---------------------------+---------------------+
| 1          | 0.00                | 0.00                      | 0.00                |
| 2          | 99.10               | 0.00                      | 99.10               |
| 3          | 4.20                | 0.00                      | 4.20                |
| 4          | 24.08               | 0.00                      | 24.08               |
| 5          | 6.83                | 0.00                      | 6.83                |
| 6          | 1.66                | 0.00                      | 1.66                |
| 7          | 0.12                | 0.00                      | 0.12                |
| 8          | 1.84                | 0.00                      | 1.84                |
| 9          | 0.12                | 0.00                      | 0.12                |
| 10         | 0.00                | 0.00                      | 0.00                |
| 11         | 2.89                | 0.00                      | 2.89                |
| 12         | 24.08               | 0.00                      | 24.08               |
| 13         | 24.08               | 0.00                      | 24.08               |
| 14         | 24.08               | 0.00                      | 24.08               |
| 15         | 7.33                | 0.00                      | 7.33                |
| 16         | 6.02                | 0.00                      | 6.02                |
| 17         | 3.35                | 0.00                      | 3.35                |
| 18         | 6.02                | 0.00                      | 6.02                |
| 19         | 0.12                | 0.00                      | 0.12                |
| 20         | 0.12                | 0.00                      | 0.12                |
| 21         | 0.00                | 0.00                      | 0.00                |
| 22         | 0.00                | 0.00                      | 0.00                |
| 23         | 0.12                | 0.00                      | 0.12                |
| 24         | 3.07                | 0.00                      | 3.07                |
| 25         | 6.02                | 0.00                      | 6.02                |
| 26         | 6.02                | 0.00                      | 6.02                |
| 27         | 6.02                | 0.00                      | 6.02                |
| 28         | 6.02                | 0.00                      | 6.02                |
| 29         | 6.02                | 0.00                      | 6.02                |
| 30         | 0.12                | 0.00                      | 0.12                |
| 31         | 0.00                | 0.00                      | 0.00                |
| 32         | 0.00                | 0.00                      | 0.00                |
| 33         | 0.00                | 0.00                      | 0.00                |
| 34         | 0.12                | 0.00                      | 0.12                |
| 35         | 0.12                | 0.00                      | 0.12                |
| 36         | 6.02                | 0.00                      | 6.02                |
| 37         | 0.12                | 0.00                      | 0.12                |
| 38         | 3.07                | 0.00                      | 3.07                |
| 39         | 0.12                | 0.00                      | 0.12                |
| 40         | 0.12                | 0.00                      | 0.12                |
| 41         | 0.00                | 0.00                      | 0.00                |
| 42         | 0.00                | 0.00                      | 0.00                |
| 43         | 0.00                | 0.00                      | 0.00                |
| 44         | 0.00                | 0.00                      | 0.00                |
| 45         | 0.12                | 0.00                      | 0.12                |
| 46         | 0.12                | 0.00                      | 0.12                |
| 47         | 0.12                | 0.00                      | 0.12                |
| 48         | 0.12                | 0.00                      | 0.12                |
| 49         | 0.12                | 0.00                      | 0.12                |
| 50         | 0.12                | 0.00                      | 0.12                |
| 51         | 0.00                | 0.00                      | 0.00                |
| 52         | 0.00                | 0.00                      | 0.00                |
| 53         | 0.00                | 0.00                      | 0.00                |
| 54         | 0.00                | 0.00                      | 0.00                |
| 55         | 0.00                | 0.00                      | 0.00                |
| 56         | 0.10                | 0.00                      | 0.10                |
| 57         | 0.12                | 0.00                      | 0.12                |
| 58         | 0.12                | 0.00                      | 0.12                |
| 59         | 0.12                | 0.00                      | 0.12                |
| 60         | 0.00                | 0.00                      | 0.00                |
| 61         | 0.00                | 0.00                      | 0.00                |
| 62         | 0.00                | 0.00                      | 0.00                |
| 63         | 0.00                | 0.00                      | 0.00                |
| 64         | 0.00                | 0.00                      | 0.00                |
| 65         | 0.00                | 0.00                      | 0.00                |
| 66         | 0.00                | 0.00                      | 0.00                |
| 67         | 0.00                | 0.00                      | 0.00                |
| 68         | 0.12                | 0.00                      | 0.12                |
| 69         | 0.00                | 0.00                      | 0.00                |
| 70         | 0.00                | 0.00                      | 0.00                |
| 71         | 0.00                | 0.00                      | 0.00                |
| 72         | 0.00                | 0.00                      | 0.00                |
| 73         | 0.00                | 0.00                      | 0.00                |
| 74         | 0.00                | 0.00                      | 0.00                |
| 75         | 0.00                | 0.00                      | 0.00                |
| 76         | 0.00                | 0.00                      | 0.00                |
| 77         | 0.00                | 0.00                      | 0.00                |
| 78         | 0.00                | 0.00                      | 0.00                |
| 79         | 0.00                | 0.00                      | 0.00                |
| 80         | 0.00                | 0.00                      | 0.00                |
| 81         | 0.00                | 0.00                      | 0.00                |
| 82         | 0.00                | 0.00                      | 0.00                |
| 83         | 0.00                | 0.00                      | 0.00                |
| 84         | 0.00                | 0.00                      | 0.00                |
| 85         | 0.00                | 0.00                      | 0.00                |
| 86         | 0.00                | 0.00                      | 0.00                |
| 87         | 0.00                | 0.00                      | 0.00                |
| 88         | 0.00                | 0.00                      | 0.00                |
| 89         | 0.00                | 0.00                      | 0.00                |
| 90         | 0.00                | 0.00                      | 0.00                |
| 91         | 0.00                | 0.00                      | 0.00                |
| 92         | 0.00                | 0.00                      | 0.00                |
| 93         | 0.00                | 0.00                      | 0.00                |
| 94         | 0.00                | 0.00                      | 0.00                |
| 95         | 0.00                | 0.00                      | 0.00                |
| 96         | 0.00                | 0.00                      | 0.00                |
| 97         | 0.00                | 0.00                      | 0.00                |
| 98         | 0.00                | 0.00                      | 0.00                |
| 99         | 0.00                | 0.00                      | 0.00                |
| 100        | 0.00                | 0.00                      | 0.00                |
+------------+---------------------+---------------------------+---------------------+
