================================================================================
Per-Chiplet Energy Consumption
================================================================================

Per-Chiplet Energy Summary:
--------------------------------------------------
Per-Chiplet Energy Consumption:

+------------+---------------------+---------------------------+---------------------+
| Chiplet ID | Compute Energy (μJ) | Communication Energy (μJ) | Total Energy (μJ)   |
+------------+---------------------+---------------------------+---------------------+
| 1          | 0.00                | 0.00                      | 0.00                |
| 2          | 248.50              | 0.00                      | 248.50              |
| 3          | 203.24              | 0.00                      | 203.24              |
| 4          | 100.65              | 0.00                      | 100.65              |
| 5          | 0.00                | 0.00                      | 0.00                |
| 6          | 0.00                | 0.00                      | 0.00                |
| 7          | 0.00                | 0.00                      | 0.00                |
| 8          | 0.00                | 0.00                      | 0.00                |
| 9          | 0.00                | 0.00                      | 0.00                |
| 10         | 0.00                | 0.00                      | 0.00                |
| 11         | 242.07              | 0.00                      | 242.07              |
| 12         | 209.96              | 0.00                      | 209.96              |
| 13         | 242.07              | 0.00                      | 242.07              |
| 14         | 0.00                | 0.00                      | 0.00                |
| 15         | 0.00                | 0.00                      | 0.00                |
| 16         | 0.00                | 0.00                      | 0.00                |
| 17         | 0.00                | 0.00                      | 0.00                |
| 18         | 0.00                | 0.00                      | 0.00                |
| 19         | 0.00                | 0.00                      | 0.00                |
| 20         | 0.00                | 0.00                      | 0.00                |
| 21         | 242.07              | 0.00                      | 242.07              |
| 22         | 23.19               | 0.00                      | 23.19               |
| 23         | 0.00                | 0.00                      | 0.00                |
| 24         | 0.00                | 0.00                      | 0.00                |
| 25         | 0.00                | 0.00                      | 0.00                |
| 26         | 0.00                | 0.00                      | 0.00                |
| 27         | 0.00                | 0.00                      | 0.00                |
| 28         | 0.00                | 0.00                      | 0.00                |
| 29         | 0.00                | 0.00                      | 0.00                |
| 30         | 0.00                | 0.00                      | 0.00                |
| 31         | 209.96              | 0.00                      | 209.96              |
| 32         | 242.07              | 0.00                      | 242.07              |
| 33         | 42.55               | 0.00                      | 42.55               |
| 34         | 32.87               | 0.00                      | 32.87               |
| 35         | 0.00                | 0.00                      | 0.00                |
| 36         | 0.00                | 0.00                      | 0.00                |
| 37         | 0.00                | 0.00                      | 0.00                |
| 38         | 0.00                | 0.00                      | 0.00                |
| 39         | 0.00                | 0.00                      | 0.00                |
| 40         | 0.00                | 0.00                      | 0.00                |
| 41         | 209.96              | 0.00                      | 209.96              |
| 42         | 242.07              | 0.00                      | 242.07              |
| 43         | 242.07              | 0.00                      | 242.07              |
| 44         | 242.07              | 0.00                      | 242.07              |
| 45         | 0.00                | 0.00                      | 0.00                |
| 46         | 0.00                | 0.00                      | 0.00                |
| 47         | 0.00                | 0.00                      | 0.00                |
| 48         | 0.00                | 0.00                      | 0.00                |
| 49         | 0.00                | 0.00                      | 0.00                |
| 50         | 0.00                | 0.00                      | 0.00                |
| 51         | 242.07              | 0.00                      | 242.07              |
| 52         | 229.19              | 0.00                      | 229.19              |
| 53         | 222.84              | 0.00                      | 222.84              |
| 54         | 209.96              | 0.00                      | 209.96              |
| 55         | 88.93               | 0.00                      | 88.93               |
| 56         | 0.30                | 0.00                      | 0.30                |
| 57         | 32.87               | 0.00                      | 32.87               |
| 58         | 0.00                | 0.00                      | 0.00                |
| 59         | 0.00                | 0.00                      | 0.00                |
| 60         | 0.00                | 0.00                      | 0.00                |
| 61         | 242.07              | 0.00                      | 242.07              |
| 62         | 209.96              | 0.00                      | 209.96              |
| 63         | 242.07              | 0.00                      | 242.07              |
| 64         | 242.07              | 0.00                      | 242.07              |
| 65         | 0.00                | 0.00                      | 0.00                |
| 66         | 232.43              | 0.00                      | 232.43              |
| 67         | 242.07              | 0.00                      | 242.07              |
| 68         | 0.00                | 0.00                      | 0.00                |
| 69         | 0.00                | 0.00                      | 0.00                |
| 70         | 0.00                | 0.00                      | 0.00                |
| 71         | 209.96              | 0.00                      | 209.96              |
| 72         | 242.07              | 0.00                      | 242.07              |
| 73         | 209.96              | 0.00                      | 209.96              |
| 74         | 242.07              | 0.00                      | 242.07              |
| 75         | 42.55               | 0.00                      | 42.55               |
| 76         | 32.87               | 0.00                      | 32.87               |
| 77         | 209.96              | 0.00                      | 209.96              |
| 78         | 0.00                | 0.00                      | 0.00                |
| 79         | 0.00                | 0.00                      | 0.00                |
| 80         | 0.00                | 0.00                      | 0.00                |
| 81         | 242.07              | 0.00                      | 242.07              |
| 82         | 242.07              | 0.00                      | 242.07              |
| 83         | 242.07              | 0.00                      | 242.07              |
| 84         | 242.07              | 0.00                      | 242.07              |
| 85         | 209.96              | 0.00                      | 209.96              |
| 86         | 242.07              | 0.00                      | 242.07              |
| 87         | 242.07              | 0.00                      | 242.07              |
| 88         | 0.00                | 0.00                      | 0.00                |
| 89         | 0.00                | 0.00                      | 0.00                |
| 90         | 0.00                | 0.00                      | 0.00                |
| 91         | 0.00                | 0.00                      | 0.00                |
| 92         | 209.96              | 0.00                      | 209.96              |
| 93         | 242.07              | 0.00                      | 242.07              |
| 94         | 65.74               | 0.00                      | 65.74               |
| 95         | 0.00                | 0.00                      | 0.00                |
| 96         | 0.00                | 0.00                      | 0.00                |
| 97         | 0.00                | 0.00                      | 0.00                |
| 98         | 0.00                | 0.00                      | 0.00                |
| 99         | 0.00                | 0.00                      | 0.00                |
| 100        | 0.00                | 0.00                      | 0.00                |
+------------+---------------------+---------------------------+---------------------+
