================================================================================
Model 1: vision_transformer_qkv_fusion
================================================================================


Model Overall Times:
--------------------------------------------------
  Overall Times:
    Start: 0.00 μs
    End: 216665.30 μs
    Duration: 216665.30 μs

Input Start/End Times:
--------------------------------------------------
  Input Times Table:

  +-------+--------------------+--------------------+
  | Input | Start (μs)         | End (μs)           |
  +-------+--------------------+--------------------+
  | 0     | 0.00               | 34124.80           |
  | 1     | 34124.80           | 54407.08           |
  | 2     | 54407.08           | 74689.36           |
  | 3     | 74689.36           | 94971.63           |
  | 4     | 94971.63           | 115253.91          |
  | 5     | 115253.91          | 135536.19          |
  | 6     | 135536.19          | 155818.46          |
  | 7     | 155818.46          | 176100.74          |
  | 8     | 176100.74          | 196383.02          |
  | 9     | 196383.02          | 216665.30          |
  +-------+--------------------+--------------------+

Summed Time Per Input:
--------------------------------------------------
  Summed Time Table:

  +-------+--------------------+-------------------------------+---------------------+--------------------+
  | Input | Compute (μs)       | Activation Communication (μs) | Weight Loading (μs) | Total (μs)         |
  +-------+--------------------+-------------------------------+---------------------+--------------------+
  | 0     | 15713.09           | 4569.19                       | 13842.53            | 34124.80           |
  | 1     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 2     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 3     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 4     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 5     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 6     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 7     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 8     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 9     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  +-------+--------------------+-------------------------------+---------------------+--------------------+

Layer Latency per input:
--------------------------------------------------
  Latency Table:

  +-------+-------+----------------------+------------------------------+
  | Input | Layer | Compute Latency (μs) | Activation Comm Latency (μs) |
  +-------+-------+----------------------+------------------------------+
  | 0     | 0     | 115.61               | -1                           |
  | 0     | 1     | 348.59               | 141.84                       |
  | 0     | 2     | 29.81                | 12.12                        |
  | 0     | 3     | 26.80                | 4.76                         |
  | 0     | 4     | 116.20               | 47.28                        |
  | 0     | 5     | 263.48               | 156.35                       |
  | 0     | 6     | 464.78               | 47.28                        |
  | 0     | 7     | 329.22               | 15.76                        |
  | 0     | 8     | 29.81                | -1                           |
  | 0     | 9     | 29.81                | 47.28                        |
  | 0     | 10    | 85.11                | 43.48                        |
  | 0     | 11    | 399.04               | 324.73                       |
  | 0     | 12    | 418.40               | 45.39                        |
  | 0     | 13    | 348.59               | -1                           |
  | 0     | 14    | 29.81                | -1                           |
  | 0     | 15    | 29.81                | 47.28                        |
  | 0     | 16    | 104.47               | 45.84                        |
  | 0     | 17    | 379.67               | 175.26                       |
  | 0     | 18    | 464.78               | 47.28                        |
  | 0     | 19    | 329.22               | 15.76                        |
  | 0     | 20    | 29.81                | -1                           |
  | 0     | 21    | 29.81                | 47.28                        |
  | 0     | 22    | 85.11                | 40.95                        |
  | 0     | 23    | 399.04               | 178.41                       |
  | 0     | 24    | 464.78               | 47.28                        |
  | 0     | 25    | 329.22               | 15.76                        |
  | 0     | 26    | 29.81                | -1                           |
  | 0     | 27    | 29.81                | 47.28                        |
  | 0     | 28    | 85.11                | 43.48                        |
  | 0     | 29    | 399.04               | 178.41                       |
  | 0     | 30    | 464.78               | 47.28                        |
  | 0     | 31    | 329.22               | 15.76                        |
  | 0     | 32    | 29.81                | -1                           |
  | 0     | 33    | 29.81                | 47.28                        |
  | 0     | 34    | 85.11                | 43.48                        |
  | 0     | 35    | 399.04               | 178.41                       |
  | 0     | 36    | 464.78               | 47.28                        |
  | 0     | 37    | 329.22               | 137.90                       |
  | 0     | 38    | 29.81                | 12.12                        |
  | 0     | 39    | 20.92                | 33.17                        |
  | 0     | 40    | 116.20               | 47.28                        |
