================================================================================
Per-Chiplet Energy Consumption
================================================================================

Per-Chiplet Energy Summary:
--------------------------------------------------
Per-Chiplet Energy Consumption:

+------------+---------------------+---------------------------+--------------------+
| Chiplet ID | Compute Energy (μJ) | Communication Energy (μJ) | Total Energy (μJ)  |
+------------+---------------------+---------------------------+--------------------+
| 1          | 0.00                | 0.00                      | 0.00               |
| 2          | 4494.65             | 0.00                      | 4494.65            |
| 3          | 3460.85             | 0.00                      | 3460.85            |
| 4          | 1661.70             | 0.00                      | 1661.70            |
| 5          | 0.00                | 0.00                      | 0.00               |
| 6          | 0.00                | 0.00                      | 0.00               |
| 7          | 0.00                | 0.00                      | 0.00               |
| 8          | 0.00                | 0.00                      | 0.00               |
| 9          | 0.00                | 0.00                      | 0.00               |
| 10         | 0.00                | 0.00                      | 0.00               |
| 11         | 4032.49             | 0.00                      | 4032.49            |
| 12         | 3773.44             | 0.00                      | 3773.44            |
| 13         | 3268.79             | 0.00                      | 3268.79            |
| 14         | 0.00                | 0.00                      | 0.00               |
| 15         | 0.00                | 0.00                      | 0.00               |
| 16         | 0.00                | 0.00                      | 0.00               |
| 17         | 0.00                | 0.00                      | 0.00               |
| 18         | 0.00                | 0.00                      | 0.00               |
| 19         | 0.00                | 0.00                      | 0.00               |
| 20         | 0.00                | 0.00                      | 0.00               |
| 21         | 3544.67             | 0.00                      | 3544.67            |
| 22         | 828.30              | 0.00                      | 828.30             |
| 23         | 0.00                | 0.00                      | 0.00               |
| 24         | 0.00                | 0.00                      | 0.00               |
| 25         | 0.00                | 0.00                      | 0.00               |
| 26         | 0.00                | 0.00                      | 0.00               |
| 27         | 0.00                | 0.00                      | 0.00               |
| 28         | 0.00                | 0.00                      | 0.00               |
| 29         | 0.00                | 0.00                      | 0.00               |
| 30         | 0.00                | 0.00                      | 0.00               |
| 31         | 3682.24             | 0.00                      | 3682.24            |
| 32         | 3821.43             | 0.00                      | 3821.43            |
| 33         | 925.38              | 0.00                      | 925.38             |
| 34         | 651.74              | 0.00                      | 651.74             |
| 35         | 0.00                | 0.00                      | 0.00               |
| 36         | 0.00                | 0.00                      | 0.00               |
| 37         | 0.00                | 0.00                      | 0.00               |
| 38         | 0.00                | 0.00                      | 0.00               |
| 39         | 0.00                | 0.00                      | 0.00               |
| 40         | 0.00                | 0.00                      | 0.00               |
| 41         | 3777.09             | 0.00                      | 3777.09            |
| 42         | 3270.83             | 0.00                      | 3270.83            |
| 43         | 3258.07             | 0.00                      | 3258.07            |
| 44         | 4034.47             | 0.00                      | 4034.47            |
| 45         | 0.00                | 0.00                      | 0.00               |
| 46         | 0.00                | 0.00                      | 0.00               |
| 47         | 0.00                | 0.00                      | 0.00               |
| 48         | 0.00                | 0.00                      | 0.00               |
| 49         | 0.00                | 0.00                      | 0.00               |
| 50         | 0.00                | 0.00                      | 0.00               |
| 51         | 4034.82             | 0.00                      | 4034.82            |
| 52         | 4102.19             | 0.00                      | 4102.19            |
| 53         | 4093.94             | 0.00                      | 4093.94            |
| 54         | 3777.13             | 0.00                      | 3777.13            |
| 55         | 1559.30             | 0.00                      | 1559.30            |
| 56         | 429.58              | 0.00                      | 429.58             |
| 57         | 651.54              | 0.00                      | 651.54             |
| 58         | 0.00                | 0.00                      | 0.00               |
| 59         | 0.00                | 0.00                      | 0.00               |
| 60         | 0.00                | 0.00                      | 0.00               |
| 61         | 3268.56             | 0.00                      | 3268.56            |
| 62         | 3777.29             | 0.00                      | 3777.29            |
| 63         | 4035.24             | 0.00                      | 4035.24            |
| 64         | 3263.54             | 0.00                      | 3263.54            |
| 65         | 0.00                | 0.00                      | 0.00               |
| 66         | 2986.02             | 0.00                      | 2986.02            |
| 67         | 4033.74             | 0.00                      | 4033.74            |
| 68         | 0.00                | 0.00                      | 0.00               |
| 69         | 0.00                | 0.00                      | 0.00               |
| 70         | 0.00                | 0.00                      | 0.00               |
| 71         | 3680.96             | 0.00                      | 3680.96            |
| 72         | 3641.66             | 0.00                      | 3641.66            |
| 73         | 3680.30             | 0.00                      | 3680.30            |
| 74         | 3821.00             | 0.00                      | 3821.00            |
| 75         | 925.56              | 0.00                      | 925.56             |
| 76         | 651.79              | 0.00                      | 651.79             |
| 77         | 3776.56             | 0.00                      | 3776.56            |
| 78         | 0.00                | 0.00                      | 0.00               |
| 79         | 0.00                | 0.00                      | 0.00               |
| 80         | 0.00                | 0.00                      | 0.00               |
| 81         | 3820.83             | 0.00                      | 3820.83            |
| 82         | 3767.29             | 0.00                      | 3767.29            |
| 83         | 3786.35             | 0.00                      | 3786.35            |
| 84         | 3219.20             | 0.00                      | 3219.20            |
| 85         | 3773.01             | 0.00                      | 3773.01            |
| 86         | 4032.90             | 0.00                      | 4032.90            |
| 87         | 3215.29             | 0.00                      | 3215.29            |
| 88         | 0.00                | 0.00                      | 0.00               |
| 89         | 0.00                | 0.00                      | 0.00               |
| 90         | 0.00                | 0.00                      | 0.00               |
| 91         | 0.00                | 0.00                      | 0.00               |
| 92         | 3680.20             | 0.00                      | 3680.20            |
| 93         | 3820.91             | 0.00                      | 3820.91            |
| 94         | 1750.19             | 0.00                      | 1750.19            |
| 95         | 0.00                | 0.00                      | 0.00               |
| 96         | 0.00                | 0.00                      | 0.00               |
| 97         | 0.00                | 0.00                      | 0.00               |
| 98         | 0.00                | 0.00                      | 0.00               |
| 99         | 0.00                | 0.00                      | 0.00               |
| 100        | 0.00                | 0.00                      | 0.00               |
+------------+---------------------+---------------------------+--------------------+
