================================================================================
Per-Chiplet Energy Consumption
================================================================================

Per-Chiplet Energy Summary:
--------------------------------------------------
Per-Chiplet Energy Consumption:

+------------+---------------------+---------------------------+---------------------+
| Chiplet ID | Compute Energy (μJ) | Communication Energy (μJ) | Total Energy (μJ)   |
+------------+---------------------+---------------------------+---------------------+
| 1          | 0.00                | 0.00                      | 0.00                |
| 2          | 32.69               | 0.00                      | 32.69               |
| 3          | 235.10              | 0.00                      | 235.10              |
| 4          | 0.12                | 0.00                      | 0.12                |
| 5          | 224.06              | 0.00                      | 224.06              |
| 6          | 0.12                | 0.00                      | 0.12                |
| 7          | 182.00              | 0.00                      | 182.00              |
| 8          | 0.12                | 0.00                      | 0.12                |
| 9          | 181.45              | 0.00                      | 181.45              |
| 10         | 0.00                | 0.00                      | 0.00                |
| 11         | 0.12                | 0.00                      | 0.12                |
| 12         | 224.06              | 0.00                      | 224.06              |
| 13         | 0.12                | 0.00                      | 0.12                |
| 14         | 224.06              | 0.00                      | 224.06              |
| 15         | 0.12                | 0.00                      | 0.12                |
| 16         | 182.00              | 0.00                      | 182.00              |
| 17         | 0.12                | 0.00                      | 0.12                |
| 18         | 127.34              | 0.00                      | 127.34              |
| 19         | 0.00                | 0.00                      | 0.00                |
| 20         | 0.00                | 0.00                      | 0.00                |
| 21         | 224.06              | 0.00                      | 224.06              |
| 22         | 0.12                | 0.00                      | 0.12                |
| 23         | 224.06              | 0.00                      | 224.06              |
| 24         | 0.12                | 0.00                      | 0.12                |
| 25         | 182.00              | 0.00                      | 182.00              |
| 26         | 0.10                | 0.00                      | 0.10                |
| 27         | 0.00                | 0.00                      | 0.00                |
| 28         | 0.00                | 0.00                      | 0.00                |
| 29         | 0.00                | 0.00                      | 0.00                |
| 30         | 0.00                | 0.00                      | 0.00                |
| 31         | 0.12                | 0.00                      | 0.12                |
| 32         | 224.06              | 0.00                      | 224.06              |
| 33         | 0.05                | 0.00                      | 0.05                |
| 34         | 182.00              | 0.00                      | 182.00              |
| 35         | 0.00                | 0.00                      | 0.00                |
| 36         | 0.00                | 0.00                      | 0.00                |
| 37         | 0.00                | 0.00                      | 0.00                |
| 38         | 0.00                | 0.00                      | 0.00                |
| 39         | 0.00                | 0.00                      | 0.00                |
| 40         | 0.00                | 0.00                      | 0.00                |
| 41         | 0.00                | 0.00                      | 0.00                |
| 42         | 0.00                | 0.00                      | 0.00                |
| 43         | 0.00                | 0.00                      | 0.00                |
| 44         | 0.00                | 0.00                      | 0.00                |
| 45         | 0.00                | 0.00                      | 0.00                |
| 46         | 0.00                | 0.00                      | 0.00                |
| 47         | 0.00                | 0.00                      | 0.00                |
| 48         | 0.00                | 0.00                      | 0.00                |
| 49         | 0.00                | 0.00                      | 0.00                |
| 50         | 0.00                | 0.00                      | 0.00                |
| 51         | 0.00                | 0.00                      | 0.00                |
| 52         | 0.00                | 0.00                      | 0.00                |
| 53         | 0.00                | 0.00                      | 0.00                |
| 54         | 0.00                | 0.00                      | 0.00                |
| 55         | 0.00                | 0.00                      | 0.00                |
| 56         | 0.00                | 0.00                      | 0.00                |
| 57         | 0.00                | 0.00                      | 0.00                |
| 58         | 0.00                | 0.00                      | 0.00                |
| 59         | 0.00                | 0.00                      | 0.00                |
| 60         | 0.00                | 0.00                      | 0.00                |
| 61         | 0.00                | 0.00                      | 0.00                |
| 62         | 0.00                | 0.00                      | 0.00                |
| 63         | 0.00                | 0.00                      | 0.00                |
| 64         | 0.00                | 0.00                      | 0.00                |
| 65         | 0.00                | 0.00                      | 0.00                |
| 66         | 0.00                | 0.00                      | 0.00                |
| 67         | 0.00                | 0.00                      | 0.00                |
| 68         | 0.00                | 0.00                      | 0.00                |
| 69         | 0.00                | 0.00                      | 0.00                |
| 70         | 0.00                | 0.00                      | 0.00                |
| 71         | 0.00                | 0.00                      | 0.00                |
| 72         | 0.00                | 0.00                      | 0.00                |
| 73         | 0.00                | 0.00                      | 0.00                |
| 74         | 0.00                | 0.00                      | 0.00                |
| 75         | 0.00                | 0.00                      | 0.00                |
| 76         | 0.00                | 0.00                      | 0.00                |
| 77         | 0.00                | 0.00                      | 0.00                |
| 78         | 0.00                | 0.00                      | 0.00                |
| 79         | 0.00                | 0.00                      | 0.00                |
| 80         | 0.00                | 0.00                      | 0.00                |
| 81         | 0.00                | 0.00                      | 0.00                |
| 82         | 0.00                | 0.00                      | 0.00                |
| 83         | 0.00                | 0.00                      | 0.00                |
| 84         | 0.00                | 0.00                      | 0.00                |
| 85         | 0.00                | 0.00                      | 0.00                |
| 86         | 0.00                | 0.00                      | 0.00                |
| 87         | 0.00                | 0.00                      | 0.00                |
| 88         | 0.00                | 0.00                      | 0.00                |
| 89         | 0.00                | 0.00                      | 0.00                |
| 90         | 0.00                | 0.00                      | 0.00                |
| 91         | 0.00                | 0.00                      | 0.00                |
| 92         | 0.00                | 0.00                      | 0.00                |
| 93         | 0.00                | 0.00                      | 0.00                |
| 94         | 0.00                | 0.00                      | 0.00                |
| 95         | 0.00                | 0.00                      | 0.00                |
| 96         | 0.00                | 0.00                      | 0.00                |
| 97         | 0.00                | 0.00                      | 0.00                |
| 98         | 0.00                | 0.00                      | 0.00                |
| 99         | 0.00                | 0.00                      | 0.00                |
| 100        | 0.00                | 0.00                      | 0.00                |
+------------+---------------------+---------------------------+---------------------+
