================================================================================
System Utilization Metrics
================================================================================


System-Wide Metrics:
--------------------------------------------------
  Time Step Used for Analysis: 1.00 μs
  Mean Per-Chiplet Compute Time Utilization (Method 1): 0.90 %
  Mean Per-Chiplet Activation Communication Time Utilization (Method 1): 0.17 %
  Mean Per-Chiplet Weight Loading Time Utilization (Method 1): 59.69 %
  Mean Per-Chiplet Combined Time Utilization (Method 1): 59.70 %

Total Compute Utilization (Method 1):
--------------------------------------------------
  Compute Time Based Utilization (Per Chiplet):

  +------------+-------------------------+----------------------+
  | Chiplet ID | Total Compute Time (μs) | Utilization (%)      |
  +------------+-------------------------+----------------------+
  | 2          | 9902.18                 | 28.53                |
  | 3          | 569.50                  | 1.64                 |
  | 4          | 2.46                    | 0.01                 |
  | 5          | 2.46                    | 0.01                 |
  | 6          | 2.46                    | 0.01                 |
  | 7          | 2.46                    | 0.01                 |
  | 8          | 2.46                    | 0.01                 |
  | 9          | 2.46                    | 0.01                 |
  | 11         | 2196.50                 | 6.33                 |
  | 12         | 3622.31                 | 10.44                |
  | 13         | 2.46                    | 0.01                 |
  | 14         | 2.46                    | 0.01                 |
  | 15         | 2.46                    | 0.01                 |
  | 16         | 2.46                    | 0.01                 |
  | 17         | 2.46                    | 0.01                 |
  | 18         | 2.46                    | 0.01                 |
  | 19         | 2.46                    | 0.01                 |
  | 20         | 2.46                    | 0.01                 |
  | 21         | 828.51                  | 2.39                 |
  | 22         | 481.69                  | 1.39                 |
  | 23         | 79.53                   | 0.23                 |
  | 24         | 2.46                    | 0.01                 |
  | 25         | 2.46                    | 0.01                 |
  | 26         | 2.46                    | 0.01                 |
  | 27         | 2.46                    | 0.01                 |
  | 28         | 2.46                    | 0.01                 |
  | 29         | 2.46                    | 0.01                 |
  | 30         | 2.46                    | 0.01                 |
  | 31         | 2.46                    | 0.01                 |
  | 32         | 2.46                    | 0.01                 |
  | 33         | 2.46                    | 0.01                 |
  | 34         | 2.46                    | 0.01                 |
  | 35         | 2.46                    | 0.01                 |
  | 36         | 2.46                    | 0.01                 |
  | 37         | 2.46                    | 0.01                 |
  | 38         | 2.46                    | 0.01                 |
  | 39         | 2.46                    | 0.01                 |
  | 41         | 2.46                    | 0.01                 |
  | 42         | 2.46                    | 0.01                 |
  | 43         | 2.46                    | 0.01                 |
  | 44         | 2.46                    | 0.01                 |
  | 45         | 2.46                    | 0.01                 |
  | 46         | 2.46                    | 0.01                 |
  | 47         | 2.46                    | 0.01                 |
  | 48         | 2.46                    | 0.01                 |
  | 51         | 2.46                    | 0.01                 |
  | 52         | 2.46                    | 0.01                 |
  | 53         | 2.46                    | 0.01                 |
  | 54         | 2.46                    | 0.01                 |
  | 55         | 2.46                    | 0.01                 |
  | 56         | 4.92                    | 0.01                 |
  | 62         | 2.46                    | 0.01                 |
  | 63         | 2.46                    | 0.01                 |
  | 64         | 2.46                    | 0.01                 |
  | 65         | 2.46                    | 0.01                 |
  | 73         | 2.46                    | 0.01                 |
  | 74         | 2.46                    | 0.01                 |
  +------------+-------------------------+----------------------+

Total Activation Communication Utilization (Method 1):
--------------------------------------------------
  Activation Communication Time Based Utilization (Per Chiplet):

  +------------+------------------------------------------+----------------------+
  | Chiplet ID | Total Activation Communication Time (μs) | Utilization (%)      |
  +------------+------------------------------------------+----------------------+
  | 2          | 356.90                                   | 1.03                 |
  | 3          | 107.91                                   | 0.31                 |
  | 4          | 1.88                                     | 0.01                 |
  | 5          | 1.88                                     | 0.01                 |
  | 6          | 1.88                                     | 0.01                 |
  | 7          | 1.88                                     | 0.01                 |
  | 8          | 1.06                                     | 0.00                 |
  | 9          | 1.06                                     | 0.00                 |
  | 11         | 153.92                                   | 0.44                 |
  | 12         | 249.31                                   | 0.72                 |
  | 13         | 1.88                                     | 0.01                 |
  | 14         | 1.88                                     | 0.01                 |
  | 15         | 1.88                                     | 0.01                 |
  | 16         | 1.88                                     | 0.01                 |
  | 17         | 1.88                                     | 0.01                 |
  | 18         | 1.88                                     | 0.01                 |
  | 19         | 1.06                                     | 0.00                 |
  | 20         | 1.06                                     | 0.00                 |
  | 21         | 60.23                                    | 0.17                 |
  | 22         | 1197.67                                  | 3.45                 |
  | 23         | 1169.37                                  | 3.37                 |
  | 24         | 1.88                                     | 0.01                 |
  | 25         | 1.88                                     | 0.01                 |
  | 26         | 1.88                                     | 0.01                 |
  | 27         | 1.88                                     | 0.01                 |
  | 28         | 1.88                                     | 0.01                 |
  | 29         | 1.88                                     | 0.01                 |
  | 30         | 1.06                                     | 0.00                 |
  | 31         | 1.88                                     | 0.01                 |
  | 32         | 1.88                                     | 0.01                 |
  | 33         | 1.88                                     | 0.01                 |
  | 34         | 1.88                                     | 0.01                 |
  | 35         | 1.88                                     | 0.01                 |
  | 36         | 1.88                                     | 0.01                 |
  | 37         | 1.88                                     | 0.01                 |
  | 38         | 1.88                                     | 0.01                 |
  | 39         | 0.00                                     | 0.00                 |
  | 41         | 1.88                                     | 0.01                 |
  | 42         | 1.88                                     | 0.01                 |
  | 43         | 1.88                                     | 0.01                 |
  | 44         | 1.88                                     | 0.01                 |
  | 45         | 1.88                                     | 0.01                 |
  | 46         | 1.88                                     | 0.01                 |
  | 47         | 1.88                                     | 0.01                 |
  | 48         | 0.00                                     | 0.00                 |
  | 51         | 1.88                                     | 0.01                 |
  | 52         | 1.88                                     | 0.01                 |
  | 53         | 1.88                                     | 0.01                 |
  | 54         | 1.88                                     | 0.01                 |
  | 55         | 1.88                                     | 0.01                 |
  | 56         | 2.94                                     | 0.01                 |
  | 62         | 1.88                                     | 0.01                 |
  | 63         | 1.88                                     | 0.01                 |
  | 64         | 1.88                                     | 0.01                 |
  | 65         | 1.06                                     | 0.00                 |
  | 73         | 1.88                                     | 0.01                 |
  | 74         | 1.06                                     | 0.00                 |
  +------------+------------------------------------------+----------------------+

Total Weight Loading Utilization (Method 1):
--------------------------------------------------
  Weight Loading Time Based Utilization (Per Chiplet):

  +------------+--------------------------------+-------------------+
  | Chiplet ID | Total Weight Loading Time (μs) | Utilization (%)   |
  +------------+--------------------------------+-------------------+
  | 2          | 147456.03                      | 100.00            |
  | 3          | 36864.01                       | 100.00            |
  | 4          | 18432.00                       | 53.11             |
  | 5          | 18432.00                       | 53.11             |
  | 6          | 18432.00                       | 53.11             |
  | 7          | 18432.00                       | 53.11             |
  | 8          | 18432.00                       | 53.11             |
  | 9          | 18432.00                       | 53.11             |
  | 11         | 36864.01                       | 100.00            |
  | 12         | 36864.01                       | 100.00            |
  | 13         | 18432.00                       | 53.11             |
  | 14         | 18432.00                       | 53.11             |
  | 15         | 18432.00                       | 53.11             |
  | 16         | 18432.00                       | 53.11             |
  | 17         | 18432.00                       | 53.11             |
  | 18         | 18432.00                       | 53.11             |
  | 19         | 18432.00                       | 53.11             |
  | 20         | 18432.00                       | 53.11             |
  | 21         | 36864.01                       | 100.00            |
  | 22         | 36864.01                       | 100.00            |
  | 23         | 36864.01                       | 100.00            |
  | 24         | 18432.00                       | 53.11             |
  | 25         | 18432.00                       | 53.11             |
  | 26         | 18432.00                       | 53.11             |
  | 27         | 18432.00                       | 53.11             |
  | 28         | 18432.00                       | 53.11             |
  | 29         | 18432.00                       | 53.11             |
  | 30         | 18432.00                       | 53.11             |
  | 31         | 18432.00                       | 53.11             |
  | 32         | 18432.00                       | 53.11             |
  | 33         | 18432.00                       | 53.11             |
  | 34         | 18432.00                       | 53.11             |
  | 35         | 18432.00                       | 53.11             |
  | 36         | 18432.00                       | 53.11             |
  | 37         | 18432.00                       | 53.11             |
  | 38         | 18432.00                       | 53.11             |
  | 39         | 18432.00                       | 53.11             |
  | 41         | 18432.00                       | 53.11             |
  | 42         | 18432.00                       | 53.11             |
  | 43         | 18432.00                       | 53.11             |
  | 44         | 18432.00                       | 53.11             |
  | 45         | 18432.00                       | 53.11             |
  | 46         | 18432.00                       | 53.11             |
  | 47         | 18432.00                       | 53.11             |
  | 48         | 18432.00                       | 53.11             |
  | 51         | 18432.00                       | 53.11             |
  | 52         | 18432.00                       | 53.11             |
  | 53         | 18432.00                       | 53.11             |
  | 54         | 18432.00                       | 53.11             |
  | 55         | 18432.00                       | 53.11             |
  | 56         | 36864.01                       | 100.00            |
  | 62         | 18432.00                       | 53.11             |
  | 63         | 18432.00                       | 53.11             |
  | 64         | 18432.00                       | 53.11             |
  | 65         | 18432.00                       | 53.11             |
  | 73         | 18432.00                       | 53.11             |
  | 74         | 18432.00                       | 53.11             |
  +------------+--------------------------------+-------------------+

Total Combined Utilization (Method 1):
--------------------------------------------------
  Combined Busy Time Based Utilization (Per Chiplet) - Compute + Activation Communication + Weight Loading:

  +------------+-------------------------------+--------------------+
  | Chiplet ID | Total Combined Busy Time (μs) | Utilization (%)    |
  +------------+-------------------------------+--------------------+
  | 2          | 157715.12                     | 100.00             |
  | 3          | 37541.41                      | 100.00             |
  | 4          | 18436.34                      | 53.12              |
  | 5          | 18436.34                      | 53.12              |
  | 6          | 18436.34                      | 53.12              |
  | 7          | 18436.34                      | 53.12              |
  | 8          | 18435.52                      | 53.12              |
  | 9          | 18435.52                      | 53.12              |
  | 11         | 39214.43                      | 100.00             |
  | 12         | 40735.62                      | 100.00             |
  | 13         | 18436.34                      | 53.12              |
  | 14         | 18436.34                      | 53.12              |
  | 15         | 18436.34                      | 53.12              |
  | 16         | 18436.34                      | 53.12              |
  | 17         | 18436.34                      | 53.12              |
  | 18         | 18436.34                      | 53.12              |
  | 19         | 18435.52                      | 53.12              |
  | 20         | 18435.52                      | 53.12              |
  | 21         | 37752.75                      | 100.00             |
  | 22         | 38543.36                      | 100.00             |
