================================================================================
Per-Chiplet Energy Consumption
================================================================================

Per-Chiplet Energy Summary:
--------------------------------------------------
Per-Chiplet Energy Consumption:

+------------+----------------------+---------------------------+--------------------+
| Chiplet ID | Compute Energy (μJ)  | Communication Energy (μJ) | Total Energy (μJ)  |
+------------+----------------------+---------------------------+--------------------+
| 1          | 0.00                 | 861.12                    | 861.12             |
| 2          | 32.69                | 952.95                    | 985.64             |
| 3          | 0.21                 | 950.04                    | 950.25             |
| 4          | 0.12                 | 947.59                    | 947.71             |
| 5          | 0.12                 | 944.71                    | 944.84             |
| 6          | 0.12                 | 944.56                    | 944.69             |
| 7          | 0.12                 | 945.97                    | 946.09             |
| 8          | 0.12                 | 947.15                    | 947.28             |
| 9          | 0.12                 | 947.86                    | 947.99             |
| 10         | 0.00                 | 854.78                    | 854.78             |
| 11         | 0.12                 | 944.71                    | 944.83             |
| 12         | 0.12                 | 1050.80                   | 1050.92            |
| 13         | 0.12                 | 1050.29                   | 1050.42            |
| 14         | 0.12                 | 1050.78                   | 1050.91            |
| 15         | 0.12                 | 1049.98                   | 1050.10            |
| 16         | 0.12                 | 1049.83                   | 1049.95            |
| 17         | 0.12                 | 1049.18                   | 1049.30            |
| 18         | 0.08                 | 1048.91                   | 1048.99            |
| 19         | 0.00                 | 1048.38                   | 1048.38            |
| 20         | 0.00                 | 942.54                    | 942.54             |
| 21         | 0.12                 | 943.99                    | 944.11             |
| 22         | 0.12                 | 1049.99                   | 1050.11            |
| 23         | 0.12                 | 1049.49                   | 1049.61            |
| 24         | 0.12                 | 1049.98                   | 1050.10            |
| 25         | 0.12                 | 1049.18                   | 1049.30            |
| 26         | 0.10                 | 1049.04                   | 1049.14            |
| 27         | 0.00                 | 1048.38                   | 1048.38            |
| 28         | 0.00                 | 1048.38                   | 1048.38            |
| 29         | 0.00                 | 1048.38                   | 1048.38            |
| 30         | 0.00                 | 942.54                    | 942.54             |
| 31         | 0.12                 | 943.27                    | 943.39             |
| 32         | 0.12                 | 1049.19                   | 1049.31            |
| 33         | 0.04                 | 1048.68                   | 1048.73            |
| 34         | 0.12                 | 1049.17                   | 1049.30            |
| 35         | 0.00                 | 1048.38                   | 1048.38            |
| 36         | 0.00                 | 1048.38                   | 1048.38            |
| 37         | 0.00                 | 1048.38                   | 1048.38            |
| 38         | 0.00                 | 1048.38                   | 1048.38            |
| 39         | 0.00                 | 1048.38                   | 1048.38            |
| 40         | 0.00                 | 942.54                    | 942.54             |
| 41         | 0.00                 | 942.54                    | 942.54             |
| 42         | 0.00                 | 1048.38                   | 1048.38            |
| 43         | 0.00                 | 1048.38                   | 1048.38            |
| 44         | 0.00                 | 1048.38                   | 1048.38            |
| 45         | 0.00                 | 1048.38                   | 1048.38            |
| 46         | 0.00                 | 1048.38                   | 1048.38            |
| 47         | 0.00                 | 1048.38                   | 1048.38            |
| 48         | 0.00                 | 1048.38                   | 1048.38            |
| 49         | 0.00                 | 1048.38                   | 1048.38            |
| 50         | 0.00                 | 942.54                    | 942.54             |
| 51         | 0.00                 | 942.54                    | 942.54             |
| 52         | 0.00                 | 1048.38                   | 1048.38            |
| 53         | 0.00                 | 1048.38                   | 1048.38            |
| 54         | 0.00                 | 1048.38                   | 1048.38            |
| 55         | 0.00                 | 1048.38                   | 1048.38            |
| 56         | 0.00                 | 1048.38                   | 1048.38            |
| 57         | 0.00                 | 1048.38                   | 1048.38            |
| 58         | 0.00                 | 1048.38                   | 1048.38            |
| 59         | 0.00                 | 1048.38                   | 1048.38            |
| 60         | 0.00                 | 942.54                    | 942.54             |
| 61         | 0.00                 | 942.54                    | 942.54             |
| 62         | 0.00                 | 1048.38                   | 1048.38            |
| 63         | 0.00                 | 1048.38                   | 1048.38            |
| 64         | 0.00                 | 1048.38                   | 1048.38            |
| 65         | 0.00                 | 1048.38                   | 1048.38            |
| 66         | 0.00                 | 1048.38                   | 1048.38            |
| 67         | 0.00                 | 1048.38                   | 1048.38            |
| 68         | 0.00                 | 1048.38                   | 1048.38            |
| 69         | 0.00                 | 1048.38                   | 1048.38            |
| 70         | 0.00                 | 942.54                    | 942.54             |
| 71         | 0.00                 | 942.54                    | 942.54             |
| 72         | 0.00                 | 1048.38                   | 1048.38            |
| 73         | 0.00                 | 1048.38                   | 1048.38            |
| 74         | 0.00                 | 1048.38                   | 1048.38            |
| 75         | 0.00                 | 1048.38                   | 1048.38            |
| 76         | 0.00                 | 1048.38                   | 1048.38            |
| 77         | 0.00                 | 1048.38                   | 1048.38            |
| 78         | 0.00                 | 1048.38                   | 1048.38            |
| 79         | 0.00                 | 1048.38                   | 1048.38            |
| 80         | 0.00                 | 942.54                    | 942.54             |
| 81         | 0.00                 | 942.54                    | 942.54             |
| 82         | 0.00                 | 1048.38                   | 1048.38            |
| 83         | 0.00                 | 1048.38                   | 1048.38            |
| 84         | 0.00                 | 1048.38                   | 1048.38            |
| 85         | 0.00                 | 1048.38                   | 1048.38            |
| 86         | 0.00                 | 1048.38                   | 1048.38            |
| 87         | 0.00                 | 1048.38                   | 1048.38            |
| 88         | 0.00                 | 1048.38                   | 1048.38            |
| 89         | 0.00                 | 1048.38                   | 1048.38            |
| 90         | 0.00                 | 942.54                    | 942.54             |
| 91         | 0.00                 | 850.00                    | 850.00             |
| 92         | 0.00                 | 942.54                    | 942.54             |
| 93         | 0.00                 | 942.54                    | 942.54             |
| 94         | 0.00                 | 942.54                    | 942.54             |
| 95         | 0.00                 | 942.54                    | 942.54             |
| 96         | 0.00                 | 942.54                    | 942.54             |
| 97         | 0.00                 | 942.54                    | 942.54             |
| 98         | 0.00                 | 942.54                    | 942.54             |
| 99         | 0.00                 | 942.54                    | 942.54             |
| 100        | 0.00                 | 850.00                    | 850.00             |
+------------+----------------------+---------------------------+--------------------+
