================================================================================
Model 1: vision_transformer_qkv_fusion
================================================================================


Model Overall Times:
--------------------------------------------------
  Overall Times:
    Start: 0.00 μs
    End: 61306.69 μs
    Duration: 61306.69 μs

Input Start/End Times:
--------------------------------------------------
  Input Times Table:

  +-------+--------------------+--------------------+
  | Input | Start (μs)         | End (μs)           |
  +-------+--------------------+--------------------+
  | 0     | 0.00               | 18581.45           |
  | 1     | 18581.45           | 23328.69           |
  | 2     | 23328.69           | 28075.94           |
  | 3     | 28075.94           | 32823.19           |
  | 4     | 32823.19           | 37570.44           |
  | 5     | 37570.44           | 42317.69           |
  | 6     | 42317.69           | 47064.94           |
  | 7     | 47064.94           | 51812.19           |
  | 8     | 51812.19           | 56559.44           |
  | 9     | 56559.44           | 61306.69           |
  +-------+--------------------+--------------------+

Summed Time Per Input:
--------------------------------------------------
  Summed Time Table:

  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | Input | Compute (μs)      | Activation Communication (μs) | Weight Loading (μs) | Total (μs)        |
  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | 0     | 210.32            | 4536.93                       | 13834.20            | 18581.45          |
  | 1     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 2     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 3     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 4     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 5     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 6     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 7     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 8     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 9     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  +-------+-------------------+-------------------------------+---------------------+-------------------+

Layer Latency per input:
--------------------------------------------------
  Latency Table:

  +-------+-------+----------------------+------------------------------+
  | Input | Layer | Compute Latency (μs) | Activation Comm Latency (μs) |
  +-------+-------+----------------------+------------------------------+
  | 0     | 0     | 1.83                 | -1                           |
  | 0     | 1     | 4.59                 | 141.84                       |
  | 0     | 2     | 0.46                 | 12.12                        |
  | 0     | 3     | 0.46                 | 2.62                         |
  | 0     | 4     | 1.84                 | 47.28                        |
  | 0     | 5     | 2.75                 | 155.49                       |
  | 0     | 6     | 5.51                 | 47.28                        |
  | 0     | 7     | 4.59                 | 15.76                        |
  | 0     | 8     | 0.46                 | -1                           |
  | 0     | 9     | 0.46                 | 47.28                        |
  | 0     | 10    | 1.84                 | 44.12                        |
  | 0     | 11    | 5.51                 | 320.45                       |
  | 0     | 12    | 5.51                 | 45.17                        |
  | 0     | 13    | 4.59                 | -1                           |
  | 0     | 14    | 0.46                 | -1                           |
  | 0     | 15    | 0.46                 | 47.28                        |
  | 0     | 16    | 1.84                 | 46.49                        |
  | 0     | 17    | 4.59                 | 174.41                       |
  | 0     | 18    | 5.51                 | 47.28                        |
  | 0     | 19    | 4.59                 | 15.76                        |
  | 0     | 20    | 0.46                 | -1                           |
  | 0     | 21    | 0.46                 | 47.28                        |
  | 0     | 22    | 1.84                 | 42.02                        |
  | 0     | 23    | 5.51                 | 177.56                       |
  | 0     | 24    | 5.51                 | 47.28                        |
  | 0     | 25    | 4.59                 | 15.76                        |
  | 0     | 26    | 0.46                 | -1                           |
  | 0     | 27    | 0.46                 | 47.28                        |
  | 0     | 28    | 1.84                 | 44.12                        |
  | 0     | 29    | 5.51                 | 177.56                       |
  | 0     | 30    | 5.51                 | 47.28                        |
  | 0     | 31    | 4.59                 | 15.76                        |
  | 0     | 32    | 0.46                 | -1                           |
  | 0     | 33    | 0.46                 | 47.28                        |
  | 0     | 34    | 1.84                 | 44.12                        |
  | 0     | 35    | 5.51                 | 177.56                       |
  | 0     | 36    | 5.51                 | 47.28                        |
  | 0     | 37    | 4.59                 | 137.90                       |
  | 0     | 38    | 0.46                 | 12.12                        |
  | 0     | 39    | 0.46                 | 28.89                        |
  | 0     | 40    | 1.84                 | 47.28                        |
  | 0     | 41    | 2.75                 | 204.88                       |
  | 0     | 42    | 2.75                 | 39.40                        |
  | 0     | 43    | 4.59                 | -1                           |
  | 0     | 44    | 0.46                 | -1                           |
  | 0     | 45    | 0.46                 | 47.28                        |
  | 0     | 46    | 1.84                 | 45.96                        |
  | 0     | 47    | 4.59                 | 309.59                       |
  | 0     | 48    | 5.51                 | 44.39                        |
  | 0     | 49    | 4.59                 | -1                           |
  | 0     | 50    | 0.46                 | -1                           |
  | 0     | 51    | 0.46                 | 47.28                        |
  | 0     | 52    | 1.84                 | 46.49                        |
  | 0     | 53    | 4.59                 | 312.04                       |
  | 0     | 54    | 5.51                 | 45.17                        |
  | 0     | 55    | 4.59                 | -1                           |
  | 0     | 56    | 0.46                 | -1                           |
  | 0     | 57    | 0.46                 | 47.28                        |
  | 0     | 58    | 1.84                 | 46.49                        |
  | 0     | 59    | 4.59                 | 174.41                       |
  | 0     | 60    | 5.51                 | 47.28                        |
  | 0     | 61    | 4.59                 | 15.76                        |
  | 0     | 62    | 0.46                 | -1                           |
  | 0     | 63    | 0.46                 | 47.28                        |
  | 0     | 64    | 1.84                 | 44.12                        |
  | 0     | 65    | 5.51                 | 177.56                       |
  | 0     | 66    | 5.51                 | 47.28                        |
  | 0     | 67    | 4.59                 | 15.76                        |
  | 0     | 68    | 0.46                 | -1                           |
  | 0     | 69    | 0.46                 | 47.28                        |
  | 0     | 70    | 1.84                 | 44.12                        |
  | 0     | 71    | 5.51                 | 177.56                       |
  | 0     | 72    | 5.51                 | 47.28                        |
  | 0     | 73    | 0.01                 | -1                           |
  | 1     | 0     | 1.83                 | -1                           |
  | 1     | 1     | 4.59                 | 141.84                       |
  | 1     | 2     | 0.46                 | 12.12                        |
  | 1     | 3     | 0.46                 | 2.62                         |
  | 1     | 4     | 1.84                 | 47.28                        |
  | 1     | 5     | 2.75                 | 155.49                       |
  | 1     | 6     | 5.51                 | 47.28                        |
  | 1     | 7     | 4.59                 | 15.76                        |
  | 1     | 8     | 0.46                 | -1                           |
  | 1     | 9     | 0.46                 | 47.28                        |
  | 1     | 10    | 1.84                 | 44.12                        |
  | 1     | 11    | 5.51                 | 320.45                       |
  | 1     | 12    | 5.51                 | 45.17                        |
  | 1     | 13    | 4.59                 | -1                           |
  | 1     | 14    | 0.46                 | -1                           |
  | 1     | 15    | 0.46                 | 47.28                        |
  | 1     | 16    | 1.84                 | 46.49                        |
  | 1     | 17    | 4.59                 | 174.41                       |
  | 1     | 18    | 5.51                 | 47.28                        |
  | 1     | 19    | 4.59                 | 15.76                        |
  | 1     | 20    | 0.46                 | -1                           |
  | 1     | 21    | 0.46                 | 47.28                        |
  | 1     | 22    | 1.84                 | 42.02                        |
  | 1     | 23    | 5.51                 | 177.56                       |
  | 1     | 24    | 5.51                 | 47.28                        |
  | 1     | 25    | 4.59                 | 15.76                        |
  | 1     | 26    | 0.46                 | -1                           |
  | 1     | 27    | 0.46                 | 47.28                        |
  | 1     | 28    | 1.84                 | 44.12                        |
  | 1     | 29    | 5.51                 | 177.56                       |
  | 1     | 30    | 5.51                 | 47.28                        |
  | 1     | 31    | 4.59                 | 15.76                        |
  | 1     | 32    | 0.46                 | -1                           |
  | 1     | 33    | 0.46                 | 47.28                        |
  | 1     | 34    | 1.84                 | 44.12                        |
  | 1     | 35    | 5.51                 | 177.56                       |
  | 1     | 36    | 5.51                 | 47.28                        |
  | 1     | 37    | 4.59                 | 137.90                       |
  | 1     | 38    | 0.46                 | 12.12                        |
  | 1     | 39    | 0.46                 | 28.89                        |
  | 1     | 40    | 1.84                 | 47.28                        |
  | 1     | 41    | 2.75                 | 204.88                       |
  | 1     | 42    | 2.75                 | 39.40                        |
  | 1     | 43    | 4.59                 | -1                           |
  | 1     | 44    | 0.46                 | -1                           |
  | 1     | 45    | 0.46                 | 47.28                        |
  | 1     | 46    | 1.84                 | 45.96                        |
  | 1     | 47    | 4.59                 | 309.59                       |
  | 1     | 48    | 5.51                 | 44.39                        |
  | 1     | 49    | 4.59                 | -1                           |
  | 1     | 50    | 0.46                 | -1                           |
  | 1     | 51    | 0.46                 | 47.28                        |
  | 1     | 52    | 1.84                 | 46.49                        |
  | 1     | 53    | 4.59                 | 312.04                       |
  | 1     | 54    | 5.51                 | 45.17                        |
  | 1     | 55    | 4.59                 | -1                           |
  | 1     | 56    | 0.46                 | -1                           |
  | 1     | 57    | 0.46                 | 47.28                        |
  | 1     | 58    | 1.84                 | 46.49                        |
  | 1     | 59    | 4.59                 | 174.41                       |
  | 1     | 60    | 5.51                 | 47.28                        |
