================================================================================
Per-Chiplet Energy Consumption
================================================================================

Per-Chiplet Energy Summary:
--------------------------------------------------
Per-Chiplet Energy Consumption:

+------------+---------------------+---------------------------+--------------------+
| Chiplet ID | Compute Energy (μJ) | Communication Energy (μJ) | Total Energy (μJ)  |
+------------+---------------------+---------------------------+--------------------+
| 1          | 0.00                | 0.00                      | 0.00               |
| 2          | 1792.44             | 0.00                      | 1792.44            |
| 3          | 349.92              | 0.00                      | 349.92             |
| 4          | 233.15              | 0.00                      | 233.15             |
| 5          | 182.70              | 0.00                      | 182.70             |
| 6          | 0.00                | 0.00                      | 0.00               |
| 7          | 0.00                | 0.00                      | 0.00               |
| 8          | 0.00                | 0.00                      | 0.00               |
| 9          | 0.00                | 0.00                      | 0.00               |
| 10         | 0.00                | 0.00                      | 0.00               |
| 11         | 286.78              | 0.00                      | 286.78             |
| 12         | 292.59              | 0.00                      | 292.59             |
| 13         | 357.80              | 0.00                      | 357.80             |
| 14         | 346.58              | 0.00                      | 346.58             |
| 15         | 255.43              | 0.00                      | 255.43             |
| 16         | 182.70              | 0.00                      | 182.70             |
| 17         | 0.00                | 0.00                      | 0.00               |
| 18         | 0.00                | 0.00                      | 0.00               |
| 19         | 0.00                | 0.00                      | 0.00               |
| 20         | 0.00                | 0.00                      | 0.00               |
| 21         | 297.38              | 0.00                      | 297.38             |
| 22         | 282.03              | 0.00                      | 282.03             |
| 23         | 343.32              | 0.00                      | 343.32             |
| 24         | 350.63              | 0.00                      | 350.63             |
| 25         | 282.85              | 0.00                      | 282.85             |
| 26         | 254.42              | 0.00                      | 254.42             |
| 27         | 182.70              | 0.00                      | 182.70             |
| 28         | 0.00                | 0.00                      | 0.00               |
| 29         | 0.00                | 0.00                      | 0.00               |
| 30         | 0.00                | 0.00                      | 0.00               |
| 31         | 200.06              | 0.00                      | 200.06             |
| 32         | 297.38              | 0.00                      | 297.38             |
| 33         | 282.03              | 0.00                      | 282.03             |
| 34         | 297.38              | 0.00                      | 297.38             |
| 35         | 271.83              | 0.00                      | 271.83             |
| 36         | 297.38              | 0.00                      | 297.38             |
| 37         | 182.70              | 0.00                      | 182.70             |
| 38         | 123.35              | 0.00                      | 123.35             |
| 39         | 0.00                | 0.00                      | 0.00               |
| 40         | 0.00                | 0.00                      | 0.00               |
| 41         | 182.70              | 0.00                      | 182.70             |
| 42         | 182.70              | 0.00                      | 182.70             |
| 43         | 297.38              | 0.00                      | 297.38             |
| 44         | 182.70              | 0.00                      | 182.70             |
| 45         | 239.94              | 0.00                      | 239.94             |
| 46         | 182.70              | 0.00                      | 182.70             |
| 47         | 0.00                | 0.00                      | 0.00               |
| 48         | 0.00                | 0.00                      | 0.00               |
| 49         | 0.00                | 0.00                      | 0.00               |
| 50         | 0.00                | 0.00                      | 0.00               |
| 51         | 182.70              | 0.00                      | 182.70             |
| 52         | 182.70              | 0.00                      | 182.70             |
| 53         | 182.70              | 0.00                      | 182.70             |
| 54         | 182.70              | 0.00                      | 182.70             |
| 55         | 182.70              | 0.00                      | 182.70             |
| 56         | 0.00                | 0.00                      | 0.00               |
| 57         | 0.00                | 0.00                      | 0.00               |
| 58         | 0.00                | 0.00                      | 0.00               |
| 59         | 0.00                | 0.00                      | 0.00               |
| 60         | 0.00                | 0.00                      | 0.00               |
| 61         | 182.70              | 0.00                      | 182.70             |
| 62         | 182.70              | 0.00                      | 182.70             |
| 63         | 182.70              | 0.00                      | 182.70             |
| 64         | 182.70              | 0.00                      | 182.70             |
| 65         | 0.00                | 0.00                      | 0.00               |
| 66         | 0.00                | 0.00                      | 0.00               |
| 67         | 0.00                | 0.00                      | 0.00               |
| 68         | 0.00                | 0.00                      | 0.00               |
| 69         | 0.00                | 0.00                      | 0.00               |
| 70         | 0.00                | 0.00                      | 0.00               |
| 71         | 182.70              | 0.00                      | 182.70             |
| 72         | 182.70              | 0.00                      | 182.70             |
| 73         | 182.70              | 0.00                      | 182.70             |
| 74         | 0.00                | 0.00                      | 0.00               |
| 75         | 0.00                | 0.00                      | 0.00               |
| 76         | 0.00                | 0.00                      | 0.00               |
| 77         | 0.00                | 0.00                      | 0.00               |
| 78         | 0.00                | 0.00                      | 0.00               |
| 79         | 0.00                | 0.00                      | 0.00               |
| 80         | 0.00                | 0.00                      | 0.00               |
| 81         | 182.70              | 0.00                      | 182.70             |
| 82         | 182.70              | 0.00                      | 182.70             |
| 83         | 0.00                | 0.00                      | 0.00               |
| 84         | 0.00                | 0.00                      | 0.00               |
| 85         | 0.00                | 0.00                      | 0.00               |
| 86         | 0.00                | 0.00                      | 0.00               |
| 87         | 0.00                | 0.00                      | 0.00               |
| 88         | 0.00                | 0.00                      | 0.00               |
| 89         | 0.00                | 0.00                      | 0.00               |
| 90         | 0.00                | 0.00                      | 0.00               |
| 91         | 0.00                | 0.00                      | 0.00               |
| 92         | 0.00                | 0.00                      | 0.00               |
| 93         | 0.00                | 0.00                      | 0.00               |
| 94         | 0.00                | 0.00                      | 0.00               |
| 95         | 0.00                | 0.00                      | 0.00               |
| 96         | 0.00                | 0.00                      | 0.00               |
| 97         | 0.00                | 0.00                      | 0.00               |
| 98         | 0.00                | 0.00                      | 0.00               |
| 99         | 0.00                | 0.00                      | 0.00               |
| 100        | 0.00                | 0.00                      | 0.00               |
+------------+---------------------+---------------------------+--------------------+
