================================================================================
System Utilization Metrics
================================================================================


System-Wide Metrics:
--------------------------------------------------
  Time Step Used for Analysis: 1.00 μs
  Mean Per-Chiplet Compute Time Utilization (Method 1): 0.92 %
  Mean Per-Chiplet Activation Communication Time Utilization (Method 1): 0.17 %
  Mean Per-Chiplet Weight Loading Time Utilization (Method 1): 59.28 %
  Mean Per-Chiplet Combined Time Utilization (Method 1): 59.29 %

Total Compute Utilization (Method 1):
--------------------------------------------------
  Compute Time Based Utilization (Per Chiplet):

  +------------+-------------------------+---------------------+
  | Chiplet ID | Total Compute Time (μs) | Utilization (%)     |
  +------------+-------------------------+---------------------+
  | 2          | 9902.18                 | 28.28               |
  | 3          | 569.50                  | 1.63                |
  | 4          | 2.46                    | 0.01                |
  | 5          | 2.46                    | 0.01                |
  | 6          | 2.46                    | 0.01                |
  | 7          | 2.46                    | 0.01                |
  | 8          | 2.46                    | 0.01                |
  | 9          | 2.46                    | 0.01                |
  | 11         | 2196.50                 | 6.27                |
  | 12         | 3622.31                 | 10.34               |
  | 13         | 2.46                    | 0.01                |
  | 14         | 2.46                    | 0.01                |
  | 15         | 2.46                    | 0.01                |
  | 16         | 2.46                    | 0.01                |
  | 17         | 2.46                    | 0.01                |
  | 18         | 2.46                    | 0.01                |
  | 19         | 2.46                    | 0.01                |
  | 20         | 2.46                    | 0.01                |
  | 21         | 828.51                  | 2.37                |
  | 22         | 789.97                  | 2.26                |
  | 23         | 387.81                  | 1.11                |
  | 24         | 2.46                    | 0.01                |
  | 25         | 2.46                    | 0.01                |
  | 26         | 2.46                    | 0.01                |
  | 27         | 2.46                    | 0.01                |
  | 28         | 2.46                    | 0.01                |
  | 29         | 2.46                    | 0.01                |
  | 30         | 2.46                    | 0.01                |
  | 31         | 2.46                    | 0.01                |
  | 32         | 2.46                    | 0.01                |
  | 33         | 2.46                    | 0.01                |
  | 34         | 2.46                    | 0.01                |
  | 35         | 2.46                    | 0.01                |
  | 36         | 2.46                    | 0.01                |
  | 37         | 2.46                    | 0.01                |
  | 38         | 2.46                    | 0.01                |
  | 39         | 2.46                    | 0.01                |
  | 41         | 2.46                    | 0.01                |
  | 42         | 2.46                    | 0.01                |
  | 43         | 2.46                    | 0.01                |
  | 44         | 2.46                    | 0.01                |
  | 45         | 2.46                    | 0.01                |
  | 46         | 2.46                    | 0.01                |
  | 47         | 2.46                    | 0.01                |
  | 48         | 2.46                    | 0.01                |
  | 51         | 2.46                    | 0.01                |
  | 52         | 2.46                    | 0.01                |
  | 53         | 2.46                    | 0.01                |
  | 54         | 2.46                    | 0.01                |
  | 55         | 2.46                    | 0.01                |
  | 56         | 4.92                    | 0.01                |
  | 62         | 2.46                    | 0.01                |
  | 63         | 2.46                    | 0.01                |
  | 64         | 2.46                    | 0.01                |
  | 65         | 2.46                    | 0.01                |
  | 73         | 2.46                    | 0.01                |
  | 74         | 2.46                    | 0.01                |
  +------------+-------------------------+---------------------+

Total Activation Communication Utilization (Method 1):
--------------------------------------------------
  Activation Communication Time Based Utilization (Per Chiplet):

  +------------+------------------------------------------+-----------------------+
  | Chiplet ID | Total Activation Communication Time (μs) | Utilization (%)       |
  +------------+------------------------------------------+-----------------------+
  | 2          | 356.90                                   | 1.02                  |
  | 3          | 107.91                                   | 0.31                  |
  | 4          | 1.88                                     | 0.01                  |
  | 5          | 1.88                                     | 0.01                  |
  | 6          | 1.88                                     | 0.01                  |
  | 7          | 1.88                                     | 0.01                  |
  | 8          | 1.06                                     | 0.00                  |
  | 9          | 1.06                                     | 0.00                  |
  | 11         | 153.92                                   | 0.44                  |
  | 12         | 249.31                                   | 0.71                  |
  | 13         | 1.88                                     | 0.01                  |
  | 14         | 1.88                                     | 0.01                  |
  | 15         | 1.88                                     | 0.01                  |
  | 16         | 1.88                                     | 0.01                  |
  | 17         | 1.88                                     | 0.01                  |
  | 18         | 1.88                                     | 0.01                  |
  | 19         | 1.06                                     | 0.00                  |
  | 20         | 1.06                                     | 0.00                  |
  | 21         | 60.23                                    | 0.17                  |
  | 22         | 1197.67                                  | 3.42                  |
  | 23         | 1169.37                                  | 3.34                  |
  | 24         | 1.88                                     | 0.01                  |
  | 25         | 1.88                                     | 0.01                  |
  | 26         | 1.88                                     | 0.01                  |
  | 27         | 1.88                                     | 0.01                  |
  | 28         | 1.88                                     | 0.01                  |
  | 29         | 1.88                                     | 0.01                  |
  | 30         | 1.06                                     | 0.00                  |
  | 31         | 1.88                                     | 0.01                  |
  | 32         | 1.88                                     | 0.01                  |
  | 33         | 1.88                                     | 0.01                  |
  | 34         | 1.88                                     | 0.01                  |
  | 35         | 1.88                                     | 0.01                  |
  | 36         | 1.88                                     | 0.01                  |
  | 37         | 1.88                                     | 0.01                  |
  | 38         | 1.88                                     | 0.01                  |
  | 39         | 0.00                                     | 0.00                  |
  | 41         | 1.88                                     | 0.01                  |
  | 42         | 1.88                                     | 0.01                  |
  | 43         | 1.88                                     | 0.01                  |
  | 44         | 1.88                                     | 0.01                  |
  | 45         | 1.88                                     | 0.01                  |
  | 46         | 1.88                                     | 0.01                  |
  | 47         | 1.88                                     | 0.01                  |
  | 48         | 0.00                                     | 0.00                  |
  | 51         | 1.88                                     | 0.01                  |
  | 52         | 1.88                                     | 0.01                  |
  | 53         | 1.88                                     | 0.01                  |
  | 54         | 1.88                                     | 0.01                  |
  | 55         | 1.88                                     | 0.01                  |
  | 56         | 2.94                                     | 0.01                  |
  | 62         | 1.88                                     | 0.01                  |
  | 63         | 1.88                                     | 0.01                  |
  | 64         | 1.88                                     | 0.01                  |
  | 65         | 1.06                                     | 0.00                  |
  | 73         | 1.88                                     | 0.01                  |
  | 74         | 1.06                                     | 0.00                  |
  +------------+------------------------------------------+-----------------------+

Total Weight Loading Utilization (Method 1):
--------------------------------------------------
  Weight Loading Time Based Utilization (Per Chiplet):

  +------------+--------------------------------+--------------------+
  | Chiplet ID | Total Weight Loading Time (μs) | Utilization (%)    |
  +------------+--------------------------------+--------------------+
  | 2          | 147456.03                      | 100.00             |
  | 3          | 36864.01                       | 100.00             |
  | 4          | 18432.00                       | 52.64              |
  | 5          | 18432.00                       | 52.64              |
  | 6          | 18432.00                       | 52.64              |
  | 7          | 18432.00                       | 52.64              |
  | 8          | 18432.00                       | 52.64              |
  | 9          | 18432.00                       | 52.64              |
  | 11         | 36864.01                       | 100.00             |
  | 12         | 36864.01                       | 100.00             |
  | 13         | 18432.00                       | 52.64              |
  | 14         | 18432.00                       | 52.64              |
  | 15         | 18432.00                       | 52.64              |
  | 16         | 18432.00                       | 52.64              |
